"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "JavaScript React", "XML", "SCSS", "comment", "blank", "total"
"d:\WebDev\webots_test\app.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 9, 14, 51
"d:\WebDev\webots_test\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"d:\WebDev\webots_test\client\package-lock.json", "JSON", 28604, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28605
"d:\WebDev\webots_test\client\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\WebDev\webots_test\client\public\css\dashboard.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 2, 9, 38
"d:\WebDev\webots_test\client\public\css\homepage.css", "CSS", 0, 0, 0, 358, 0, 0, 0, 0, 37, 57, 452
"d:\WebDev\webots_test\client\public\css\livestream.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"d:\WebDev\webots_test\client\public\css\main.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"d:\WebDev\webots_test\client\public\css\splitScreenSlider.css", "CSS", 0, 0, 0, 120, 0, 0, 0, 0, 0, 26, 146
"d:\WebDev\webots_test\client\public\index.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 8, 11, 50
"d:\WebDev\webots_test\client\sass\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"d:\WebDev\webots_test\client\src\App.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\WebDev\webots_test\client\src\components\About.jsx", "JavaScript React", 0, 0, 0, 0, 0, 60, 0, 0, 0, 11, 71
"d:\WebDev\webots_test\client\src\components\AddTeam.jsx", "JavaScript React", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"d:\WebDev\webots_test\client\src\components\Challenge.jsx", "JavaScript React", 0, 0, 0, 0, 0, 44, 0, 0, 22, 9, 75
"d:\WebDev\webots_test\client\src\components\ChallengeDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 30, 0, 0, 3, 6, 39
"d:\WebDev\webots_test\client\src\components\Contact.jsx", "JavaScript React", 0, 0, 0, 0, 0, 87, 0, 0, 20, 19, 126
"d:\WebDev\webots_test\client\src\components\FAQs.jsx", "JavaScript React", 0, 0, 0, 0, 0, 86, 0, 0, 0, 2, 88
"d:\WebDev\webots_test\client\src\components\Header.jsx", "JavaScript React", 0, 0, 0, 0, 0, 28, 0, 0, 1, 3, 32
